product_id,product_name,price
1,economic,954
2,compare,159
3,speak,262
4,radio,819
5,case,957
6,author,23
7,ten,90
8,small,382
9,type,140
10,throughout,188
11,threat,72
12,sister,719
13,lawyer,932
14,successful,594
15,within,169
16,at,802
17,trip,486
18,chair,13
19,employee,527
20,late,143
21,night,952
22,direction,884
23,able,348
24,day,551
25,require,778
26,discover,590
27,now,536
28,decade,684
29,situation,186
30,production,5
31,several,770
32,compare,130
33,answer,313
34,anyone,439
35,decision,239
36,cause,628
37,thus,678
38,book,885
39,parent,501
40,large,519
41,chance,344
42,manage,692
43,section,552
44,may,937
45,source,620
46,smile,415
47,year,226
48,ago,52
49,easy,74
50,worker,213
